country,date,tot_cases,cumulative_cases,days_elapsed,end_date,end_label
Turkey,2020-06-28,15,5097,98,FALSE,NA
UK,2020-06-28,71,56133,112,FALSE,NA
China,2020-06-29,0,4713,159,FALSE,NA
France,2020-06-29,35,29816,114,FALSE,NA
Turkey,2020-06-29,18,5115,99,FALSE,NA
UK,2020-06-29,69,56202,113,FALSE,NA
China,2020-06-30,0,4713,160,FALSE,NA
France,2020-06-30,30,29846,115,FALSE,NA
Turkey,2020-06-30,16,5131,100,FALSE,NA
UK,2020-06-30,82,56284,114,FALSE,NA
China,2020-07-01,0,4713,161,FALSE,NA
France,2020-07-01,19,29865,116,FALSE,NA
Turkey,2020-07-01,19,5150,101,FALSE,NA
UK,2020-07-01,54,56338,115,FALSE,NA
China,2020-07-02,0,4713,162,FALSE,NA
France,2020-07-02,13,29878,117,FALSE,NA
Turkey,2020-07-02,17,5167,102,FALSE,NA
UK,2020-07-02,61,56399,116,FALSE,NA
China,2020-07-03,0,4713,163,FALSE,NA
France,2020-07-03,18,29896,118,FALSE,NA
Turkey,2020-07-03,19,5186,103,FALSE,NA
UK,2020-07-03,48,56447,117,FALSE,NA
China,2020-07-04,0,4713,164,FALSE,NA
France,2020-07-04,0,29896,119,FALSE,NA
Turkey,2020-07-04,20,5206,104,FALSE,NA
UK,2020-07-04,52,56499,118,FALSE,NA
China,2020-07-05,0,4713,165,FALSE,NA
France,2020-07-05,-1,29895,120,FALSE,NA
Turkey,2020-07-05,19,5225,105,FALSE,NA
UK,2020-07-05,52,56551,119,FALSE,NA
China,2020-07-06,0,4713,166,FALSE,NA
France,2020-07-06,30,29925,121,FALSE,NA
Turkey,2020-07-06,16,5241,106,FALSE,NA
UK,2020-07-06,54,56605,120,FALSE,NA
China,2020-07-07,0,4713,167,FALSE,NA
France,2020-07-07,11,29936,122,FALSE,NA
Turkey,2020-07-07,19,5260,107,FALSE,NA
UK,2020-07-07,43,56648,121,FALSE,NA
China,2020-07-08,0,4713,168,FALSE,NA
France,2020-07-08,31,29967,123,FALSE,NA
Turkey,2020-07-08,22,5282,108,FALSE,NA
UK,2020-07-08,47,56695,122,FALSE,NA
China,2020-07-09,0,4713,169,FALSE,NA
France,2020-07-09,16,29983,124,FALSE,NA
Turkey,2020-07-09,18,5300,109,FALSE,NA
UK,2020-07-09,61,56756,123,FALSE,NA
China,2020-07-10,0,4713,170,FALSE,NA
France,2020-07-10,26,30009,125,FALSE,NA
Turkey,2020-07-10,23,5323,110,FALSE,NA
UK,2020-07-10,44,56800,124,FALSE,NA
China,2020-07-11,0,4713,171,FALSE,NA
France,2020-07-11,3,30012,126,FALSE,NA
Turkey,2020-07-11,21,5344,111,FALSE,NA
UK,2020-07-11,38,56838,125,FALSE,NA
China,2020-07-12,0,4713,172,FALSE,NA
France,2020-07-12,0,30012,127,FALSE,NA
Turkey,2020-07-12,19,5363,112,FALSE,NA
UK,2020-07-12,32,56870,126,FALSE,NA
China,2020-07-13,0,4713,173,FALSE,NA
France,2020-07-13,23,30035,128,FALSE,NA
Turkey,2020-07-13,19,5382,113,FALSE,NA
UK,2020-07-13,45,56915,127,FALSE,NA
China,2020-07-14,1,4714,174,FALSE,NA
France,2020-07-14,2,30037,129,FALSE,NA
Turkey,2020-07-14,20,5402,114,FALSE,NA
UK,2020-07-14,42,56957,128,FALSE,NA
China,2020-07-15,0,4714,175,FALSE,NA
France,2020-07-15,88,30125,130,FALSE,NA
Turkey,2020-07-15,17,5419,115,FALSE,NA
UK,2020-07-15,41,56998,129,FALSE,NA
China,2020-07-16,2,4716,176,FALSE,NA
France,2020-07-16,17,30142,131,FALSE,NA
Turkey,2020-07-16,21,5440,116,FALSE,NA
